line_name,current_stop_id,current_stop_name,next_stop_id,next_stop_name,arrival_time_diff_mean,arrival_time_diff_std
57(四惠枢纽站-靛厂新村),1,四惠枢纽站,2.0,八王坟西,452.8333333333333,127.42435664607716
57(四惠枢纽站-靛厂新村),2,八王坟西,3.0,郎家园,79.66666666666667,13.764689123502452
57(四惠枢纽站-靛厂新村),5,大北窑南,6.0,双花园,178.5,94.53570753953238
57(四惠枢纽站-靛厂新村),6,双花园,7.0,双井桥北,80.0,33.481338085566414
57(四惠枢纽站-靛厂新村),7,双井桥北,8.0,垂杨柳,199.8,57.1419285638838
57(四惠枢纽站-靛厂新村),8,垂杨柳,9.0,马圈,163.0,38.691084244306204
57(四惠枢纽站-靛厂新村),9,马圈,10.0,广渠门内,277.0,78.1728853247723
57(四惠枢纽站-靛厂新村),10,广渠门内,11.0,安化楼,68.0,22.891046284519195
57(四惠枢纽站-靛厂新村),11,安化楼,12.0,培新街,103.0,28.513154858766505
57(四惠枢纽站-靛厂新村),12,培新街,13.0,榄杆市,234.33333333333334,64.53164598345012
57(四惠枢纽站-靛厂新村),13,榄杆市,14.0,磁器口西,147.0,59.39696961966999
57(四惠枢纽站-靛厂新村),14,磁器口西,15.0,水道子,94.5,57.27564927611035
57(四惠枢纽站-靛厂新村),15,水道子,16.0,桥湾,86.4,49.08462080937368
57(四惠枢纽站-靛厂新村),16,桥湾,17.0,东城三里河,47.4,9.813256340277675
57(四惠枢纽站-靛厂新村),17,东城三里河,18.0,过街楼,130.2,60.32163790879687
57(四惠枢纽站-靛厂新村),18,过街楼,19.0,珠市口西,71.8,14.166862743741113
57(四惠枢纽站-靛厂新村),19,珠市口西,20.0,虎坊桥路口东,111.5,28.759346306896475
57(四惠枢纽站-靛厂新村),20,虎坊桥路口东,21.0,虎坊桥路口西,132.0,72.06247289678588
57(四惠枢纽站-靛厂新村),21,虎坊桥路口西,22.0,菜市口西,210.33333333333334,25.579940057266224
57(四惠枢纽站-靛厂新村),22,菜市口西,23.0,牛街路口西,281.2,106.80449428745965
57(四惠枢纽站-靛厂新村),23,牛街路口西,24.0,广安门内,168.25,48.76730462102658
57(四惠枢纽站-靛厂新村),24,广安门内,25.0,达官营,183.66666666666666,16.25833119767626
