LINE_CODE,ON_STATION,OFF_STATION,UP_TIME,direction,on_name,off_name
57,1,25,2019-06-06 07:07:01,1,靛厂新村,安化楼
57,1,1,2019-06-06 07:07:01,1,靛厂新村,靛厂新村
57,1,1,2019-06-06 07:07:01,1,靛厂新村,靛厂新村
57,1,6,2019-06-06 07:07:01,1,靛厂新村,小井路口东
57,1,7,2019-06-06 07:07:01,1,靛厂新村,六里桥西
57,1,4,2019-06-06 07:07:01,1,靛厂新村,水衙沟路东口
57,1,6,2019-06-06 07:07:01,1,靛厂新村,小井路口东
57,1,9,2019-06-06 07:07:01,1,靛厂新村,莲花池
57,1,8,2019-06-06 07:07:01,1,靛厂新村,六里桥东
57,1,8,2019-06-06 07:07:01,1,靛厂新村,六里桥东
57,1,8,2019-06-06 07:07:01,1,靛厂新村,六里桥东
57,1,12,2019-06-06 07:08:01,1,靛厂新村,广安门内
57,1,6,2019-06-06 07:08:01,1,靛厂新村,小井路口东
57,2,9,2019-06-06 07:09:01,1,岳各庄东路北口,莲花池
57,2,6,2019-06-06 07:09:01,1,岳各庄东路北口,小井路口东
57,2,2,2019-06-06 07:09:01,1,岳各庄东路北口,岳各庄东路北口
57,2,7,2019-06-06 07:09:01,1,岳各庄东路北口,六里桥西
57,2,7,2019-06-06 07:09:01,1,岳各庄东路北口,六里桥西
57,2,6,2019-06-06 07:09:01,1,岳各庄东路北口,小井路口东
57,2,9,2019-06-06 07:09:01,1,岳各庄东路北口,莲花池
57,3,13,2019-06-06 07:11:01,1,靛厂村南站,牛街路口东
57,3,24,2019-06-06 07:11:01,1,靛厂村南站,培新街
57,3,12,2019-06-06 07:11:01,1,靛厂村南站,广安门内
57,3,12,2019-06-06 07:11:01,1,靛厂村南站,广安门内
57,3,16,2019-06-06 07:11:01,1,靛厂村南站,虎坊桥路口东
57,3,12,2019-06-06 07:11:01,1,靛厂村南站,广安门内
57,3,7,2019-06-06 07:11:01,1,靛厂村南站,六里桥西
57,3,6,2019-06-06 07:11:01,1,靛厂村南站,小井路口东
57,3,7,2019-06-06 07:11:01,1,靛厂村南站,六里桥西
57,3,12,2019-06-06 07:11:01,1,靛厂村南站,广安门内
57,4,28,2019-06-06 07:12:01,1,水衙沟路东口,垂杨柳
57,4,12,2019-06-06 07:12:01,1,水衙沟路东口,广安门内
