station_num,params
1,"{'norm': {'loc': 110, 'scale': 0}}"
2,"{'norm': {'loc': 105.5, 'scale': 37.489998666310996}}"
3,"{'norm': {'loc': 118.66666666666667, 'scale': 35.00095236799517}}"
4,"{'norm': {'loc': 51.125, 'scale': 21.23634014742519}}"
5,"{'norm': {'loc': 104.66666666666667, 'scale': 17.19738352191984}}"
6,"{'norm': {'loc': 176.11111111111111, 'scale': 71.90869982909655}}"
7,"{'norm': {'loc': 170.77777777777777, 'scale': 48.191746642391415}}"
8,"{'norm': {'loc': 387.1, 'scale': 184.71085512226944}}"
9,"{'norm': {'loc': 239.375, 'scale': 74.26004020621434}}"
10,"{'norm': {'loc': 241.5, 'scale': 85.77587073297478}}"
11,"{'norm': {'loc': 111.14285714285714, 'scale': 27.113517977991297}}"
12,"{'norm': {'loc': 233.11111111111111, 'scale': 57.383456772062026}}"
13,"{'norm': {'loc': 218, 'scale': 61.62070359149684}}"
14,"{'norm': {'loc': 147.28571428571428, 'scale': 25.869636550173936}}"
15,"{'norm': {'loc': 150.33333333333334, 'scale': 26.7482086627622}}"
16,"{'norm': {'loc': 191.7, 'scale': 117.15995713363655}}"
17,"{'norm': {'loc': 174.33333333333334, 'scale': 116.4806850941391}}"
18,"{'norm': {'loc': 461.5, 'scale': 350.3973254953378}}"
19,"{'norm': {'loc': 66.25, 'scale': 12.325930854445495}}"
20,"{'norm': {'loc': 32.625, 'scale': 9.679691553527341}}"
21,"{'norm': {'loc': 97.75, 'scale': 68.97359743305509}}"
22,"{'norm': {'loc': 40, 'scale': 16.174053295324583}}"
23,"{'norm': {'loc': 99.8, 'scale': 49.781522676591564}}"
24,"{'norm': {'loc': 157.28571428571428, 'scale': 57.93592519820003}}"
25,"{'norm': {'loc': 76, 'scale': 17.298843892006193}}"
26,"{'norm': {'loc': 62.77777777777778, 'scale': 18.46468100034345}}"
27,"{'norm': {'loc': 187.875, 'scale': 44.098712323280246}}"
28,"{'norm': {'loc': 96, 'scale': 24.06241883103193}}"
29,"{'norm': {'loc': 367.125, 'scale': 96.35268177749018}}"
30,"{'norm': {'loc': 168.28571428571428, 'scale': 109.35830144638356}}"
31,"{'norm': {'loc': 511.1666666666667, 'scale': 224.16102842971316}}"
32,"{'norm': {'loc': 196, 'scale': 75.0199973340442}}"
33,"{'norm': {'loc': 72.33333333333333, 'scale': 24.440403706431148}}"
34,"{'norm': {'loc': 271, 'scale': 16.97056274847714}}"
35,"{'norm': {'loc': 110, 'scale': 0}}"
